Building Type,Run Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy,,,,
Asm,M1,CZ01,cDXGF,0.0,0.0,0.0,1323534820090.88,0.0,12255824841.58,,,,
Asm,M1,CZ02,cDXGF,0.0,0.0,0.0,933864812636.52,0.0,298258418921.46,,,,
Asm,M1,CZ03,cDXGF,0.0,0.0,0.0,588318608144.83,0.0,132488545031.4,,,,
Asm,M1,CZ04,cDXGF,0.0,0.0,0.0,749181959240.52,0.0,520105551474.83,,,,
Asm,M1,CZ05,cDXGF,0.0,0.0,0.0,573268930246.85,0.0,167453996310.82,,,,
Asm,M1,CZ06,cDXGF,0.0,0.0,0.0,148077009893.22,0.0,315432241611.25,,,,
Asm,M1,CZ07,cDXGF,0.0,0.0,0.0,130822639498.61,0.0,339241567184.03,,,,
Asm,M1,CZ08,cDXGF,0.0,0.0,279442.41,190542440576.31,0.0,553738550403.82,,,,
Asm,M1,CZ09,cDXGF,0.0,0.0,1735357.57,253116212212.6,0.0,573171330440.23,,,,
Asm,M1,CZ10,cDXGF,0.0,0.0,602972.7,275671436993.14,0.0,665539974410.32,,,,
Asm,M1,CZ11,cDXGF,0.0,0.0,36814684.78,774064058448.94,0.0,730587448712.41,,,,
Asm,M1,CZ12,cDXGF,0.0,0.0,0.0,784499408503.86,0.0,500598048423.14,,,,
Asm,M1,CZ13,cDXGF,0.0,0.0,71413499.62,657722912321.56,0.0,769160179242.81,,,,
Asm,M1,CZ14,cDXGF,0.0,0.0,30030094.13,649944977449.02,0.0,739743800576.45,,,,
Asm,M1,CZ15,cDXGF,0.0,0.0,11449788962.1,134493641048.2,0.0,1354426690553.24,,,,
Asm,M1,CZ16,cDXGF,0.0,0.0,637420.86,1231898483357.01,0.0,219839208401.24,,,,
Asm,M1,CZ01,cDXHP,0.0,0.0,0.0,0.0,318503490517.55,12006641477.67,,,,
Asm,M1,CZ02,cDXHP,0.0,0.0,0.0,0.0,227695903586.54,299973063301.23,,,,
Asm,M1,CZ03,cDXHP,0.0,0.0,0.0,0.0,139842167620.31,132885136299.6,,,,
Asm,M1,CZ04,cDXHP,0.0,0.0,0.0,0.0,185369510072.48,521197258136.74,,,,
Asm,M1,CZ05,cDXHP,0.0,0.0,0.0,0.0,137174553819.72,169074885375.08,,,,
Asm,M1,CZ06,cDXHP,0.0,0.0,0.0,0.0,34481169699.91,301973692956.83,,,,
Asm,M1,CZ07,cDXHP,0.0,0.0,0.0,0.0,30410300463.12,326872158920.0,,,,
Asm,M1,CZ08,cDXHP,0.0,0.0,280049.17,0.0,44879090064.39,552616773147.4,,,,
Asm,M1,CZ09,cDXHP,0.0,0.0,1708278.62,0.0,60432500179.34,573377322658.2,,,,
Asm,M1,CZ10,cDXHP,0.0,0.0,602972.02,0.0,65989645803.64,665560807267.81,,,,
Asm,M1,CZ11,cDXHP,0.0,0.0,36819688.25,0.0,191138422995.33,730818243447.0,,,,
Asm,M1,CZ12,cDXHP,0.0,0.0,0.0,0.0,191515394680.55,501384934383.75,,,,
Asm,M1,CZ13,cDXHP,0.0,0.0,71448311.86,0.0,161332044520.68,769561448726.66,,,,
Asm,M1,CZ14,cDXHP,0.0,0.0,30056269.22,0.0,166899859186.79,740231170206.15,,,,
Asm,M1,CZ15,cDXHP,0.0,0.0,11449788962.1,0.0,32138206982.58,1354426690553.24,,,,
Asm,M1,CZ16,cDXHP,0.0,0.0,638388.66,0.0,345807999765.53,224499172953.32,,,,
Asm,M1,CZ01,cPTAC,0.0,0.0,0.0,0.0,0.0,10782547675.94,,,,
Asm,M1,CZ02,cPTAC,0.0,0.0,0.0,0.0,0.0,289816390406.81,,,,
Asm,M1,CZ03,cPTAC,0.0,0.0,0.0,0.0,0.0,130361912524.92,,,,
Asm,M1,CZ04,cPTAC,0.0,0.0,0.0,0.0,0.0,512104876520.51,,,,
Asm,M1,CZ05,cPTAC,0.0,0.0,0.0,0.0,0.0,160715295544.24,,,,
Asm,M1,CZ06,cPTAC,0.0,0.0,0.0,0.0,0.0,314302873280.53,,,,
Asm,M1,CZ07,cPTAC,0.0,0.0,0.0,0.0,0.0,338036161842.38,,,,
Asm,M1,CZ08,cPTAC,0.0,0.0,279442.41,0.0,0.0,550887214267.8,,,,
Asm,M1,CZ09,cPTAC,0.0,0.0,1735203.27,0.0,0.0,569932903092.33,,,,
Asm,M1,CZ10,cPTAC,0.0,0.0,602970.47,0.0,0.0,661531553055.97,,,,
Asm,M1,CZ11,cPTAC,0.0,0.0,36814594.57,0.0,0.0,726423243169.59,,,,
Asm,M1,CZ12,cPTAC,0.0,0.0,0.0,0.0,0.0,496971652856.92,,,,
Asm,M1,CZ13,cPTAC,0.0,0.0,71413347.77,0.0,0.0,766619433622.37,,,,
Asm,M1,CZ14,cPTAC,0.0,0.0,30030091.8,0.0,0.0,734639450611.79,,,,
Asm,M1,CZ15,cPTAC,0.0,0.0,11449788962.09,0.0,0.0,1352635430647.14,,,,
Asm,M1,CZ16,cPTAC,0.0,0.0,637420.84,0.0,0.0,217642232311.71,,,,
Asm,M1,CZ01,cPVVG,0.0,0.0,0.0,1544357999789.21,0.0,16218153885.24,,,,
Asm,M1,CZ02,cPVVG,0.0,0.0,0.0,1119758400425.93,0.0,290171713073.83,,,,
Asm,M1,CZ03,cPVVG,0.0,0.0,0.0,736315708344.4,0.0,137925343125.66,,,,
Asm,M1,CZ04,cPVVG,0.0,0.0,0.0,892785610782.88,0.0,504331444633.76,,,,
Asm,M1,CZ05,cPVVG,0.0,0.0,0.0,718050643099.56,0.0,169722900772.81,,,,
Asm,M1,CZ06,cPVVG,0.0,0.0,0.0,216690148233.1,0.0,311288154453.76,,,,
Asm,M1,CZ07,cPVVG,0.0,0.0,0.0,195075742217.33,0.0,321172670346.17,,,,
Asm,M1,CZ08,cPVVG,0.0,0.0,194300.14,264138609467.91,0.0,535104977817.13,,,,
Asm,M1,CZ09,cPVVG,0.0,0.0,904207.92,333627130316.68,0.0,551193200585.2,,,,
Asm,M1,CZ10,cPVVG,0.0,0.0,474532.5,353860235233.64,0.0,639908976173.09,,,,
Asm,M1,CZ11,cPVVG,0.0,0.0,14535571.97,929430167230.87,0.0,706366292983.4,,,,
Asm,M1,CZ12,cPVVG,0.0,0.0,0.0,951684242056.01,0.0,485147875867.18,,,,
Asm,M1,CZ13,cPVVG,0.0,0.0,37838942.72,801894789114.61,0.0,744779109036.83,,,,
Asm,M1,CZ14,cPVVG,0.0,0.0,15064671.33,835187172834.2,0.0,711082146326.62,,,,
Asm,M1,CZ15,cPVVG,0.0,0.0,7482930504.27,186520931457.47,0.0,1311187144498.65,,,,
Asm,M1,CZ16,cPVVG,0.0,0.0,403769.81,1572051191553.47,0.0,211010334808.4,,,,
Asm,M2,CZ01,cDXGF,0.0,0.0,0.0,298440222.61,0.0,776041789261.49,,,,
Asm,M2,CZ02,cDXGF,0.0,0.0,0.0,196447317.99,0.0,900174922235.01,,,,
Asm,M2,CZ03,cDXGF,0.0,0.0,0.0,49140675.68,0.0,868786622113.38,,,,
Asm,M2,CZ04,cDXGF,0.0,0.0,0.0,117916963.08,0.0,983740656573.73,,,,
Asm,M2,CZ05,cDXGF,0.0,0.0,0.0,34482672.41,0.0,881100336852.25,,,,
Asm,M2,CZ06,cDXGF,0.0,0.0,0.0,3404652.92,0.0,940438815683.79,,,,
Asm,M2,CZ07,cDXGF,0.0,0.0,0.0,105389.14,0.0,943014369031.52,,,,
Asm,M2,CZ08,cDXGF,0.0,0.0,19618183.71,5016667.89,0.0,1008478044126.45,,,,
Asm,M2,CZ09,cDXGF,0.0,0.0,55057454.84,16215068.62,0.0,1023807792277.86,,,,
Asm,M2,CZ10,cDXGF,0.0,0.0,41932159.26,7170284.78,0.0,1028230009228.05,,,,
Asm,M2,CZ11,cDXGF,0.0,0.0,653328218.55,248381011.7,0.0,1028584006266.18,,,,
Asm,M2,CZ12,cDXGF,0.0,0.0,0.0,153311033.24,0.0,968020270206.49,,,,
Asm,M2,CZ13,cDXGF,0.0,0.0,1050225429.27,98482448.59,0.0,1056023652305.74,,,,
Asm,M2,CZ14,cDXGF,0.0,0.0,676168602.38,108323223.26,0.0,1055856112800.19,,,,
Asm,M2,CZ15,cDXGF,0.0,0.0,7669528121.16,3448625.69,0.0,1240534673020.44,,,,
Asm,M2,CZ16,cDXGF,0.0,0.0,16898121.91,839768550.53,0.0,909630605711.57,,,,
Asm,M2,CZ01,cDXHP,0.0,0.0,0.0,0.0,78150960.08,790067630933.51,,,,
Asm,M2,CZ02,cDXHP,0.0,0.0,0.0,0.0,53015494.81,903392728767.23,,,,
Asm,M2,CZ03,cDXHP,0.0,0.0,0.0,0.0,12039881.97,875774874365.33,,,,
Asm,M2,CZ04,cDXHP,0.0,0.0,0.0,0.0,32149127.84,984493848232.63,,,,
Asm,M2,CZ05,cDXHP,0.0,0.0,0.0,0.0,8702635.8,888662339946.05,,,,
Asm,M2,CZ06,cDXHP,0.0,0.0,0.0,0.0,848117.69,948558938877.11,,,,
