Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
Htl,M1,cDXGF,Base,CZ01,18.805000000000003,269744462.988516
Htl,M1,cDXGF,Measure,CZ01,18.805000000000003,273061144.3688951
Htl,M1,cDXHP,Base,CZ01,18.805000000000003,270171902.6135529
Htl,M1,cDXHP,Measure,CZ01,18.805000000000003,273440409.95692635
Htl,M1,cPTAC,Base,CZ01,18.805000000000003,268276178.37783358
Htl,M1,cPTAC,Measure,CZ01,18.805000000000003,271765527.4752896
Htl,M1,cPVVG,Base,CZ01,18.805000000000003,249041700.73060188
Htl,M1,cPVVG,Measure,CZ01,18.805000000000003,255017529.60433066
Htl,M2,cDXGF,Base,CZ01,18.805000000000003,334161524.7739813
Htl,M2,cDXGF,Measure,CZ01,18.805000000000003,331386239.73010945
Htl,M2,cDXHP,Base,CZ01,18.805000000000003,333488090.208968
Htl,M2,cDXHP,Measure,CZ01,18.805000000000003,330588382.8645543
Htl,M2,cPTAC,Base,CZ01,18.805000000000003,334160981.9464076
Htl,M2,cPTAC,Measure,CZ01,18.805000000000003,331389167.4165523
Htl,M2,cPVVG,Base,CZ01,18.805000000000003,319067557.6246027
Htl,M2,cPVVG,Measure,CZ01,18.805000000000003,317732411.74239963
Htl,M3,cDXGF,Base,CZ01,18.805000000000003,319229853.8947807
Htl,M3,cDXGF,Measure,CZ01,18.805000000000003,304151026.9552859
Htl,M3,cDXHP,Base,CZ01,18.805000000000003,311528481.8449036
Htl,M3,cDXHP,Measure,CZ01,18.805000000000003,296385056.98220485
Htl,M3,cPTAC,Base,CZ01,18.805000000000003,319231199.46140367
Htl,M3,cPTAC,Measure,CZ01,18.805000000000003,304152264.4595595
Htl,M3,cPVVG,Base,CZ01,18.805000000000003,316972292.4242824
Htl,M3,cPVVG,Measure,CZ01,18.805000000000003,301996478.37012863
Htl,M4,cDXGF,Base,CZ01,18.805000000000003,278398319.3771606
Htl,M4,cDXGF,Measure,CZ01,18.805000000000003,283134715.7711683
Htl,M4,cDXHP,Base,CZ01,18.805000000000003,278581565.2728826
Htl,M4,cDXHP,Measure,CZ01,18.805000000000003,283156955.5972693
Htl,M4,cPTAC,Base,CZ01,18.805000000000003,277453724.0135493
Htl,M4,cPTAC,Measure,CZ01,18.805000000000003,282421198.44287175
Htl,M4,cPVVG,Base,CZ01,18.805000000000003,254297296.31113726
Htl,M4,cPVVG,Measure,CZ01,18.805000000000003,261431014.997212
Htl,M5,cDXGF,Base,CZ01,18.805000000000003,301933166.45624465
Htl,M5,cDXGF,Measure,CZ01,18.805000000000003,289136588.87103844
Htl,M5,cDXHP,Base,CZ01,18.805000000000003,300390715.6715707
Htl,M5,cDXHP,Measure,CZ01,18.805000000000003,286694802.09660524
Htl,M5,cPTAC,Base,CZ01,18.805000000000003,301932549.03337806
Htl,M5,cPTAC,Measure,CZ01,18.805000000000003,289132416.4252065
